Image,Title,Rating,Price,Ad_Organic
https://m.media-amazon.com/images/I/71FVyverqHL._AC_UY218_.jpg,"HP 15, AMD Ryzen 5 7520U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Offic24, Silver,1.59kg, fc0806AU, FHD Camera w/Privacy Shutter, Backlit Laptop",N/A,"61,990",Organic
https://m.media-amazon.com/images/I/71O0M22NGRL._AC_UY218_.jpg,"ASUS TUF F16, 14th Gen,Intel Core i7 14650HX,RTX 5060-8GB,16GB,1TB,FHD+,16"",165Hz,90WHrs,Windows 11,M365 Basic (1Year)*,Office 2024,Jaeger Gray,2.2 Kg, FX608JMR-RV049WS, Gaming Laptop",4.4 out of 5 stars,"1,49,990",Organic
https://m.media-amazon.com/images/I/71MbIVSIhAL._AC_UY218_.jpg,"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, Office 2024 + M365 Basic, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",N/A,"41,990",Organic
https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,"acer Aspire Lite, AMD Ryzen 3 5300U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",4.0 out of 5 stars,"49,790",Organic
https://m.media-amazon.com/images/I/61KJB9peJNL._AC_UY218_.jpg,"ASUS Zenbook 14 (2026),Smartchoice,Intel Core Ultra 9 285H,32GB RAM,1TB SSD,OLED,Touchscreen,14""(35.5 cm),Win 11,M365 Basic(1Y)* Office 24,Ponder Blue,1.28 Kg,UX3405CA-QL1016WS,Thin & Light Laptop",5.0 out of 5 stars,N/A,Organic
https://m.media-amazon.com/images/I/71K-77wHn2L._AC_UY218_.jpg,"Lenovo IdeaPad Slim 3 13th Gen Core i7-13620H 15.3"" (38.8cm) WUXGA IPS Laptop (16GB RAM/512GB SSD/Win 11/Office 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg),83K1011BIN",4.0 out of 5 stars,"80,750",Organic
https://m.media-amazon.com/images/I/51GDyaNXQxL._AC_UY218_.jpg,"MSI Katana 15, Intel 14th Gen. i9-14900HX, 40cm QHD 165Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 5060, GDDR7 8GB/Black/2.4Kg) B14WFK-261IN",3.3 out of 5 stars,"1,64,990",Organic
https://m.media-amazon.com/images/I/71bIUPAleZL._AC_UY218_.jpg,"ASUS Vivobook 15, 13th Gen, Intel Core i3-1315U, 16GB RAM, 512GB SSD, FHD, Anti-Glare, 15.6"", 39.6 cm, Windows 11 Home, M365 Basic(1yr)* Office24, Cool Silver, 1.70 kg, X1504VA-BQ341WS, Laptop",4.3 out of 5 stars,"52,500",Organic
https://m.media-amazon.com/images/I/71D5f6HJk2L._AC_UY218_.jpg,"acer Aspire 3 Intel Pentium N100 Processor Laptop with 35.56 cm (14"") Full HD IPS Display (16 GB RAM/512 GB SSD/Intel Graphics/Win11 Home/WiFi 6/38Wh) A324-31, Steel Gray, 1.45KG",3.6 out of 5 stars,"39,990",Organic
https://m.media-amazon.com/images/I/71i8sUwTjoL._AC_UY218_.jpg,"Lenovo {Smartchoice} Idea Tab Pro with Pen Plus|12.7"" 3K Display|144 Hz Refresh|12 GB RAM, 256 GB ROM| AI-Enabled| MediaTek Dimensity 8300|Quad JBL Speakers|10200 mAh Battery with 45 W Charger|WiFi 6e",4.4 out of 5 stars,"35,954",Organic
